,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,1.31,88,32,2.51,CL,1686962547
1,qamdo,31.1667,97.2333,7.81,62,100,1.47,CN,1686962547
2,nar'yan-mar,67.6713,53.087,3.08,80,100,6.26,RU,1686962548
3,cadale,2.7603,46.3222,25.74,81,13,8.94,SO,1686962548
4,alofi,-19.0595,-169.9187,21.94,94,100,4.63,NU,1686962548
5,albany,42.6001,-73.9662,16.76,92,100,1.26,US,1686962548
6,georgetown,5.4112,100.3354,27.96,100,20,1.03,MY,1686962548
7,adamstown,-25.066,-130.1015,21.51,68,100,3.26,PN,1686962549
8,grytviken,-54.2811,-36.5092,-0.01,83,23,6.65,GS,1686962549
9,campo grande,-20.4428,-54.6464,13.75,82,75,3.09,BR,1686962548
10,margaret river,-33.95,115.0667,12.26,63,100,4.39,AU,1686962549
11,enewetak,11.3474,162.3373,27.61,80,100,7.09,MH,1686962549
12,port-aux-francais,-49.35,70.2167,4.27,64,19,10.88,TF,1686962549
13,hasaki,35.7333,140.8333,27.94,66,0,3.94,JP,1686962550
14,tiksi,71.6872,128.8694,13.04,50,3,6.86,RU,1686962550
15,flying fish cove,-10.4217,105.6791,25.82,94,75,4.63,CX,1686962550
16,edinburgh of the seven seas,-37.0676,-12.3116,13.11,59,87,10.34,SH,1686962550
17,broceni,56.7,22.5333,15.67,87,100,0.87,LV,1686962550
18,vila velha,-20.3297,-40.2925,23.97,88,0,1.79,BR,1686962550
19,baise city,23.8997,106.6133,27.18,89,100,2.03,CN,1686962473
20,whitehorse,60.7161,-135.0538,15.43,36,75,7.2,CA,1686962268
21,invercargill,-46.4,168.35,10.55,70,8,1.12,NZ,1686962551
22,waitangi,-43.9535,-176.5597,13.23,76,25,1.34,NZ,1686962551
23,iqaluit,63.7506,-68.5145,3.85,64,20,3.09,CA,1686962551
24,yellowknife,62.456,-114.3525,20.29,32,75,3.09,CA,1686962552
25,anadyr,64.75,177.4833,4.28,86,100,2.0,RU,1686962552
26,college,64.8569,-147.8028,23.1,33,75,5.14,US,1686962552
27,blackmans bay,-43.0167,147.3167,15.96,52,30,6.87,AU,1686962552
28,ushuaia,-54.8,-68.3,2.81,93,0,2.57,AR,1686962371
29,mundri,-6.9558,111.71,25.84,71,92,4.68,ID,1686962552
30,yuzhno-kurilsk,44.0306,145.8556,15.24,85,87,3.89,RU,1686962553
